match_id,player,team,event_type,event_detail,minute
1264426,Alex René Reyes,Llanera,Goal,Penalty,3
1264426,Adri Carrión,Real Ávila,Goal,Normal Goal,12
1264426,Adilson,Real Ávila,subst,Substitution 1,27
1264426,Mateo Arellano,Llanera,subst,Substitution 1,56
1264426,T. Rossi,Llanera,subst,Substitution 2,56
1264426,B. Boye,Real Ávila,subst,Substitution 2,63
1264426,Cássio Júnior,Real Ávila,subst,Substitution 3,63
1264426,Adri Carrión,Real Ávila,subst,Substitution 4,80
1264426,Adrián Turmo,Llanera,subst,Substitution 3,90
